plot,horizon,Upper Depth,Lower Depth,horizon.rock.frag.vol
A-30-3-101S Plot 1,h1,0,8,25
A-30-3-101S Plot 1,h2,8,17,10
A-30-3-101S Plot 1,h3,17,25,20
A-30-3-101S Plot 2,h1,0,5,50
A-30-3-101S Plot 2,h2,5,14,25
A-30-3-101S Plot 2,h3,14,26,10
A-30-3-101S Plot 2,h4,26,40,5
A-30-3-101S Plot 2,h5,40,70,66
A-30-3-101S Rd Plot 1,h1,0,6,5
A-30-3-101S Rd Plot 1,h2,6,20,75
A-30-3-101S Rd Plot 1,h3,20,37,78
A-30-3-101S Rd Plot 1,h4,37,70,78
A-30-3-101S Rd Plot 2,h1,0,3,20
A-30-3-101S Rd Plot 2,h2,3,18,8
A-30-3-101S Rd Plot 2,h3,18,29,30
A-30-3-101S Rd Plot 2,h4,29,70,100
Cath Fed 30 01 FR Plot 1,h1,0,6,2
Cath Fed 30 01 FR Plot 1,h2,6,18,20
Cath Fed 30 01 FR Plot 1,h3,18,37,40
Cath Fed 30 01 FR Plot 1,h4,37,46,50
Cath Fed 30 01 FR Plot 1,h5,46,60,75
Cath Fed 30 01 FR Plot 2,h1,0,4,40
Cath Fed 30 01 FR Plot 2,h2,4,10,10
Cath Fed 30 01 FR Plot 2,h3,10,17,50
Cath Fed 30 01 FR Plot 2,h4,17,28,7
Cath Fed 30 01 FR Plot 2,h5,28,52,67
Cath Fed 30 01 FR Plot 2,h6,52,70,3
Cath Fed 30 01 Rd Plot 1,h1,0,1,15
Cath Fed 30 01 Rd Plot 1,h2,1,3,11
Cath Fed 30 01 Rd Plot 1,h3,3,12,40
Cath Fed 30 01 Rd Plot 1,h4,12,23,100
Cath Fed 30 01 Rd Plot 2,h1,0,6,50
Cath Fed 30 01 Rd Plot 2,h2,6,13,5
Cath Fed 30 01 Rd Plot 2,h3,13,36,0
Cath Fed P 35 3 101 FR Plot 1,h1,0,5,0
Cath Fed P 35 3 101 FR Plot 1,h2,5,18,5
Cath Fed P 35 3 101 FR Plot 1,h3,18,38,1
Cath Fed P 35 3 101 FR Plot 1,h4,38,60,0
Cath Fed P 35 3 101 FR Plot 2,h1,0,5,5
Cath Fed P 35 3 101 FR Plot 2,h2,5,22,3
Cath Fed P 35 3 101 FR Plot 2,h3,22,38,2
Cath Fed P 35 3 101 FR Plot 2,h4,38,48,30
Cath Fed P 35 3 101 FR Plot 2,h5,48,70,10
Cath Fed P 35 3 101 Rd Plot 1,h1,0,15,0
Cath Fed P 35 3 101 Rd Plot 1,h2,15,33,0
Cath Fed P 35 3 101 Rd Plot 1,h3,33,40,0
Cath Fed P 35 3 101 Rd Plot 2,h1,0,6,5
Cath Fed P 35 3 101 Rd Plot 2,h2,6,16,3
Cath Fed P 35 3 101 Rd Plot 2,h3,16,29,0.5
Cath Fed P 35 3 101 Rd Plot 2,h4,29,53,1
Cath Fed P 35 3 101 Rd Plot 2,h5,53,70,5
Cities Fed 07 31 FR Plot 1,h1,0,4,15
Cities Fed 07 31 FR Plot 1,h2,4,13,2
Cities Fed 07 31 FR Plot 1,h3,13,29,0
Cities Fed 07 31 FR Plot 1,h4,29,48,0
Cities Fed 07 31 FR Plot 1,h5,48,70,0.5
Cities Fed 07 31 FR Plot 2,h1,0,5,33
Cities Fed 07 31 FR Plot 2,h2,5,19,0
Cities Fed 07 31 FR Plot 2,h3,19,33,0
Cities Fed 07 31 FR Plot 2,h4,33,42,5
Cities Fed 07 31 FR Plot 2,h5,42,70,0
DTU 1022 FR Well Pad Plot 1,h1,0,6,12.5
DTU 1022 FR Well Pad Plot 1,h2,6,14,5
DTU 1022 FR Well Pad Plot 1,h3,14,26,20
DTU 1022 FR Well Pad Plot 1,h4,26,38,7
DTU 1022 FR Well Pad Plot 1,h5,38,56,50
DTU 1022 FR Well Pad Plot 1,h6,56,70,40
DTU 1022 FR Well Pad Plot 2,h1,0,5,10
DTU 1022 FR Well Pad Plot 2,h2,5,12,87
DTU 1022 FR Well Pad Plot 2,h3,12,22,0
DTU 1022 FR Well Pad Plot 2,h4,22,38,22
DTU 1058 Plot 1,h1,0,3,40
DTU 1058 Plot 1,h2,3,13,3
DTU 1058 Plot 1,h3,13,26,3
DTU 1058 Plot 1,h4,26,40,2
DTU 1058 Plot 2,h1,0,10,2
DTU 1058 Plot 2,h2,10,23,2
DTU 1058 Plot 2,h3,23,34,75
Federal 30-16 FR Plot 1,h1,0,9,3
Federal 30-16 FR Plot 1,h2,9,17,15
Federal 30-16 FR Plot 1,h3,17,29,25
Federal 30-16 FR Plot 1,h4,29,45,65
Federal 30-16 FR Plot 2,h1,0,9,5
Federal 30-16 FR Plot 2,h2,9,20,18
Federal 30-16 FR Plot 2,h3,20,40,77
Pk Mtn 9016 Plot 1,h1,0,4,2
Pk Mtn 9016 Plot 1,h2,4,16,0.5
Pk Mtn 9016 Plot 1,h3,16,32,0.5
Pk Mtn 9016 Plot 1,h4,32,70,1
Pk Mtn 9016 Plot 2,h1,0,10,75
Pk Mtn 9016 Plot 2,h2,10,22,0
Pk Mtn 9016 Plot 2,h3,22,29,40
Pk Mtn 9016 Plot 2,h4,29,43,10
SDC 7326 FR Plot 1,h1,0,3,15
SDC 7326 FR Plot 1,h2,3,19,7
SDC 7326 FR Plot 1,h3,19,40,1
SDC 7326 FR Plot 1,h4,40,70,7
SDC 7326 FR Plot 2,h1,0,9,0
SDC 7326 FR Plot 2,h2,9,16,0
SDC 7326 FR Plot 2,h3,16,27,25
SDC 7326 FR Plot 2,h4,27,42,30
SDC 7326 FR Plot 2,h5,42,70,52
SDC 7326 FR Rd Plot 1,h1,0,5,20
SDC 7326 FR Rd Plot 1,h2,5,20,7
SDC 7326 FR Rd Plot 1,h3,20,30,97
SDC 7326 FR Rd Plot 2,h1,0,9,5
SDC 7326 FR Rd Plot 2,h2,9,26,40
SDC 7326 FR Rd Plot 2,h3,26,32,90
SDC 7326 FR Rd Plot 2,h4,32,38,2
SDC 7326 FR Rd Plot 2,h5,38,65,30
SWR 6003 Plot 1,h1,0,10,50
SWR 6003 Plot 1,h2,10,14,5
SWR 6003 Plot 1,h3,14,18,2
SWR 6003 Plot 1,h4,18,22,5
SWR 6003 Plot 1,h5,22,28,70
SWR 6003 Plot 1,h6,28,35,0
SWR 6003 Plot 2,h1,0,2,27
SWR 6003 Plot 2,h2,2,8,5
SWR 6003 Plot 2,h3,8,15,0
