"","names(summ.cover[6:131])"
"1","ACHY"
"2","ACLE9"
"3","ACMI2"
"4","ALSI8"
"5","AMELA"
"6","AMUT"
"7","ARDE"
"8","ARLI"
"9","ARNO4"
"10","ARTR2"
"11","ARTRW8"
"12","ASTRA"
"13","ATCO"
"14","BRTE"
"15","CAGE2"
"16","CEMO2"
"17","CERCO"
"18","CHRYS9"
"19","CHVI8"
"20","ELEL5"
"21","ELTR7"
"22","EPVI"
"23","ERIOG"
"24","GUSA2"
"25","HEBO"
"26","HECO26"
"27","HEUN"
"28","JUOS"
"29","KOMA"
"30","LESA4"
"31","LIIN2"
"32","LUPIN"
"33","OPPO"
"34","PASM"
"35","PEPU7"
"36","PF01"
"37","PF02"
"38","PF03"
"39","PF04"
"40","PG01"
"41","PG02"
"42","PHCA7"
"43","PHLO2"
"44","PIED"
"45","PLPA2"
"46","POPR"
"47","POSE"
"48","PSME"
"49","PSSP6"
"50","QUGA"
"51","SAVE4"
"52","SH01"
"53","SYOR2"
"54","ACMIO"
"55","ACNE9"
"56","ACNED"
"57","AECY"
"58","AF01"
"59","AGCR"
"60","AGDE2"
"61","ALDE"
"62","AMAL2"
"63","ANDI2"
"64","AREAA"
"65","ARFR4"
"66","ARTRV"
"67","ASCI4"
"68","ASTE5"
"69","ATCA2"
"70","BAPR5"
"71","BASC5"
"72","BOGR2"
"73","BRAR5"
"74","BRIN2"
"75","CETE5"
"76","CHAL7"
"77","CHDE2"
"78","CHER2"
"79","CICA10"
"80","CIUN"
"81","CYOF"
"82","DESO2"
"83","EL"
"84","ELELE"
"85","ELLA3"
"86","ELLAL"
"87","ERCI6"
"88","ERCOV"
"89","ERLO4"
"90","ERNA10"
"91","ERTR13"
"92","GRFA"
"93","GRSQ"
"94","HAGL"
"95","HEAN3"
"96","HEMU3"
"97","IPAG"
"98","L"
"99","LASE"
"100","LASQ"
"101","LC"
"102","LECA5"
"103","LECI4"
"104","LEERS"
"105","LEMO2"
"106","LEPE2"
"107","LESA2"
"108","LILE3"
"109","LIWA4"
"110","LUAR3"
"111","M"
"112","MAAF"
"113","MACA2"
"114","MAGR2"
"115","MEOF"
"116","MESA"
"117","MESAS"
"118","OPFR"
"119","PAMU11"
"120","PECAC4"
"121","PEFR"
"122","PEPAP9"
"123","PEST2"
"124","PHHO"
"125","PLJA"
"126","POAV"
