"","site","art.plot","art.rock","ref.site","ref.rock","rock.diff"
"1","A-30-3-101S","A-30-3-101S Plot 1",6.42857142857143,"A-30-3-101S Ref",52.8571428571429,46.4285714285714
"2","A-30-3-101S","A-30-3-101S Plot 2",35.9285714285714,"A-30-3-101S Ref",52.8571428571429,16.9285714285714
"3","A-30-3-101S","A-30-3-101S Rd Plot 1",34.3714285714286,"A-30-3-101S Ref",52.8571428571429,18.4857142857143
"4","A-30-3-101S","A-30-3-101S Rd Plot 2",2.57142857142857,"A-30-3-101S Ref",52.8571428571429,50.2857142857143
"5","Cath Fed 30 01","Cath Fed 30 01 Plot 1",14.4571428571429,"Cath Fed 30 01 Ref",21.3142857142857,6.85714285714286
"6","Cath Fed 30 01","Cath Fed 30 01 Plot 2",32.9857142857143,"Cath Fed 30 01 Ref",21.3142857142857,11.6714285714286
"7","Cath Fed 30 01","Cath Fed 30 01 Rd Plot 1",0.528571428571429,"Cath Fed 30 01 Ref",21.3142857142857,20.7857142857143
"8","Cath Fed 30 01","Cath Fed 30 01 Rd Plot 2",4.78571428571429,"Cath Fed 30 01 Ref",21.3142857142857,16.5285714285714
"9","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 1",0.928571428571429,"Cath Fed P 35 3 101 Ref",5.57142857142857,4.64285714285714
"10","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Plot 2",5.82857142857143,"Cath Fed P 35 3 101 Ref",5.57142857142857,0.257142857142857
"11","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2",2.50714285714286,"Cath Fed P 35 3 101 Road Ref",26.1428571428571,23.6357142857143
"12","Cities Fed 07 31","Cities Fed 07 31 Plot 1",1.27142857142857,"Cities Fed 07 31 Ref",1.45714285714286,0.185714285714286
"13","Cities Fed 07 31","Cities Fed 07 31 Plot 2",3,"Cities Fed 07 31 Ref",1.45714285714286,1.54285714285714
"14","DTU 1022","DTU 1022 Plot 1",14.2714285714286,"DTU 1022 Ref",26.5714285714286,12.3
"15","DTU 1022","DTU 1022 Plot 2",14.4428571428571,"DTU 1022 Ref",26.5714285714286,12.1285714285714
"16","DTU 1058","DTU 1058 Plot 1",3.1,"DTU 1058 Ref",3.68571428571429,0.585714285714286
"17","DTU 1058","DTU 1058 Plot 2",12.4428571428571,"DTU 1058 Ref",3.68571428571429,8.75714285714286
"18","Fed 30-16","Federal 30-16 Plot 1",21.2428571428571,"Fed 30 16 Ref",7.88571428571429,13.3571428571429
"19","Fed 30-16","Federal 30-16 Plot 2",25.4714285714286,"Fed 30 16 Ref",7.88571428571429,17.5857142857143
"20","Pk Mtn 9016","Pk Mtn 9016 Plot 1",0.857142857142857,"Pk Mtn 9016 Ref",4,3.14285714285714
"21","Pk Mtn 9016","Pk Mtn 9016 Plot 2",16.7142857142857,"Pk Mtn 9016 Ref",4,12.7142857142857
"22","SDC 7326","SDC 7326 Plot 1",5.54285714285714,"SDC 7326 Ref",22.0714285714286,16.5285714285714
"23","SDC 7326","SDC 7326 Plot 2",31.1571428571429,"SDC 7326 Ref",22.0714285714286,9.08571428571429
"24","SDC 7326","SDC 7326 Rd Plot 2",10.5285714285714,"SDC 7326 Ref",22.0714285714286,11.5428571428571
"25","SWR 6003","SWR 6003 Plot 1",7.94285714285714,"SWR 6003 Ref",35.4285714285714,27.4857142857143
"26","SWR 6003","SWR 6003 Plot 2",0.771428571428571,"SWR 6003 Ref",35.4285714285714,34.6571428571429
