Site,Plot,Horizon,sample.wt.g,sand.per,clay.per,silt.per
A-30-3-101S,Plot 1,H1,58.53925127,56.26,12.84,30.9
A-30-3-101S,Plot 1,H2,41.2389329,58.78,13.78,27.44
A-30-3-101S,Plot 1,H3,86.71300426,72.94,8.97,18.09
A-30-3-101S,Plot 2,H1,42.49587667,34.11,37.03,28.85
A-30-3-101S,Plot 2,H2,101.5299148,69.71,15.65,14.63
A-30-3-101S,Plot 2,H3,39.01057751,27.55,48.78,23.67
A-30-3-101S,Plot 2,H4,56.55547195,13.11,42.28,44.61
A-30-3-101S,Plot 2,H5,48.38970944,12.07,19.95,67.98
A-30-3-101S Rd,Plot 1,H1,45.76375959,84.7,12.79,2.5
A-30-3-101S Rd,Plot 1,H2,48.78497041,54.28,15.41,30.31
A-30-3-101S Rd,Plot 1,H3,38.708663,48.98,22.32,28.7
A-30-3-101S Rd,Plot 2,H1,98.30716581,73.55,7.82,18.63
A-30-3-101S Rd,Plot 2,H2,67.18542857,55.35,14.58,30.07
A-30-3-101S Rd,Plot 2,H3,42.69588889,40.53,12.58,46.89
Cath Fed 30 01,Plot 1,H1,53.0000216,59.91,9.55,30.55
Cath Fed 30 01,Plot 1,H2,54.04463441,20.82,26.15,53.03
Cath Fed 30 01,Plot 1,H3,52.65243046,14.1,56.65,29.25
Cath Fed 30 01,Plot 2,H1,46.03328308,39.21,22.83,37.96
Cath Fed 30 01,Plot 2,H2,39.20007314,44.7,27.32,27.98
Cath Fed 30 01,Plot 2,H3,53.9728839,49.55,25.82,24.63
Cath Fed 30 01,Plot 2,H4,52.07670055,65.05,14.45,20.5
Cath Fed 30 01,Plot 2,H5,53.97367466,74.59,9.52,15.89
Cath Fed 30 01,Plot 2,H6,53.63762527,79.17,6.84,13.98
Cath Fed 30 01 Rd,Plot 1,H1,47.20801554,44.92,22.04,33.04
Cath Fed 30 01 Rd,Plot 1,H2,78.7603308,38.27,16.56,45.18
Cath Fed 30 01 Rd,Plot 2,H1,49.64761726,42.09,24.22,33.69
Cath Fed 30 01 Rd,Plot 2,H2,47.11785857,30.66,24.41,44.93
