"","grav.moist","tin.wt","tin.samp.wt","tin.samp.oven.wt","subsamp.wt","site","plot","horizon","subsamp.oven.wt","sand","silt","clay"
"1","3.2869296210363552E-2","29.32","56.03","55.18","51.93","SWR 6003","SWR 6003 Ref","h4","50.277416697865959","45.739923253046811","29.983044470253581","24.277032276699607"
"2","2.0506247997436739E-2","29.41","61.26","60.62","48.03","SWR 6003","SWR 6003 Ref","h3","47.064875981161698","56.850666965923651","26.920880847830116","16.228452186246233"
"3","1.4838709677419152E-2","29.07","44.8","44.57","48.7","SWR 6003","SWR 6003 Ref","h2","47.987921169739366","51.455047432726303","35.123213474372243","13.421739092901452"
"4","8.8731144631764899E-3","29.25","63.36","63.06","51.72","SWR 6003","SWR 6003 Ref","h1","51.26511873350924","50.624670450955925","39.712603239197335","9.6627263098467395"
"5","3.4372135655362061E-2","30.8","53.37","52.62","46.15","Cath Fed 30 01","Cath Fed 30 01 Ref","h3","44.61643774922463","28.295193155460581","41.80557810172013","29.89922874281929"
"6","2.7237354085602874E-2","30.43","51.55","50.99","42.37","Cath Fed 30 01","Cath Fed 30 01 Ref","h2","41.246553030303041","44.188794183133474","31.584738529235999","24.226467287630527"
"7","3.1496062992125873E-2","30.59","56.79","55.99","53.5","Cath Fed 30 01","Cath Fed 30 01 Ref","h1","51.86641221374046","40.635086697507568","42.515576221355637","16.849337081136795"
"8","7.5305930342015066E-3","30.46","62.57","62.33","48.5","DTU 1022","DTU 1022 Ref","h1","48.137496107131732","50.242161202001462","34.849709522237305","14.908129275761237"
"9","1.6471245114461294E-2","30.23","66.64","66.05","56.3","DTU 1022","DTU 1022 Ref","h2","55.387695687997791","38.562345261759944","40.260459432926929","21.177195305313127"
"10","1.9722650231124822E-2","30.4","63.49","62.85","49.22","DTU 1022","DTU 1022 Ref","h3","48.268026594137204","10.389150767429101","57.776743064552811","31.834106168018089"
"11","2.6008182349503233E-2","30.49","65.599999999999994","64.709999999999994","50.49","DTU 1022","DTU 1022 Ref","h4","49.210133864995726","7.4151522747132219","63.612636076283422","28.972211649003356"
"12","8.3993115318416439E-2","30.38","61.87","59.43","46.09","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Road Ref","h5","42.518720228644021","3.6785191210054933","54.186984210135627","42.13449666885888"
"13","7.8737541528239113E-2","30.54","63.01","60.64","47.76","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Road Ref","h4","44.273975977825685","7.3948090396612116","57.137762307417063","35.467428652921726"
"14","7.6923076923076872E-2","30.32","54.4","52.68","43.72","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Road Ref","h3","40.597142857142856","13.491452020760534","45.842609027589027","40.665938951650439"
"15","9.2291738679571175E-2","30.88","62.48","59.81","46.68","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Road Ref","h2","42.735835443037985","15.000725980839974","45.529268738100008","39.470005281060018"
"16","4.4331110239309635E-2","30.69","57.31","56.18","55.19","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Road Ref","h1","52.847223891810664","15.799693421130584","42.65942352934286","41.540883049526556"
"17","2.0473278383408941E-2","30.8","69.180000000000007","68.41","56.32","Fed 30 16","Fed 30 16 Ref","h1","55.190078165711292","55.070373148058387","26.180742616875257","18.748884235066356"
"18","3.880070546737225E-2","30.39","53.95","53.07","45.11","Fed 30 16","Fed 30 16 Ref","h2","43.42507640067911","54.51936614280514","20.815792539964523","24.664841317230337"
"19","4.9650606840750323E-2","30.8","59.34","57.99","45.45","Fed 30 16","Fed 30 16 Ref","h3","43.300122634898393","59.007044507319442","17.171918776928678","23.82103671575188"
"36","1.8530489118724403E-2","29.31","76.58","75.72","47.59","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Ref","h1","46.724178125661105","64.151322351883522","11.726707220965011","24.121970427151467"
"37","3.0525319451017319E-2","29.41","72.959999999999994","71.67","58.77","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Ref","h2","57.029166475315741","56.601154234451798","25.890555522458939","17.508290243089263"
"38","0.10697839178179254","29.25","60.5","57.48","47.93","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Ref","h3","43.298044799999992","7.1807890325608241","31.590590110681838","61.228620856757338"
"39","9.5990279465370795E-2","29.07","56.13","53.76","41.27","Cath Fed P 35 3 101","Cath Fed P 35 3 101 Ref","h4","37.655443458980038","6.3880364643704439","35.207967280683924","58.403996254945632"
"40","2.3355263157894764E-2","29.25","60.36","59.65","45.82","SDC 7326","SDC 7326 Ref","h1","44.774284795885563","62.590133876266393","10.214825592684388","27.195040531049219"
"41","3.6363636363636445E-2","30.51","60.72","59.66","44.57","SDC 7326","SDC 7326 Ref","h2","43.006140350877196","35.536036868217792","35.308925670542237","29.155037461239974"
"42","8.3302480562754536E-2","30.8","60.06","57.81","43.78","SDC 7326","SDC 7326 Ref","h3","40.413458646616547","11.369255137266563","31.680673819259937","56.9500710434735"
"43","8.8426931430344427E-2","30.26","65.34","62.49","50.45","SDC 7326","SDC 7326 Ref","h4","46.351297035347777","3.9940565933591188","33.432286905327771","62.57365650131311"
"44","1.9972764412165125E-2","30.54","53.01","52.57","44.46","DTU 1058","DTU 1058 Ref","h1","43.589399198931908","68.455633129403338","18.820875074514188","12.723491796082467"
"45","4.9584026622296239E-2","30.45","61.99","60.5","46.81","DTU 1058","DTU 1058 Ref","h2","44.598620798985415","14.241751815671876","55.169657958524397","30.588590225803724"
"46","8.6388269046860075E-2","30.23","64.31","61.6","43.61","DTU 1058","DTU 1058 Ref","h3","40.142186032863847","0.36265192023897441","38.115789361551471","61.521558718209555"
"47","8.8391278727165595E-2","30.48","67.42","64.42","50.16","DTU 1058","DTU 1058 Ref","h4","46.08636708175419","6.6969198858290895","33.72181227721093","59.581267836959981"
"71","8.7114337568058017E-2","29.31","59.26","56.86","49.66","DTU 1058","DTU 1058 Ref","h5","45.68056761268781","-2.3411101113707531","41.969899750923659","60.371210360447094"
