"","site","art.plot","art.grav.moist","ref.site","ref.grav.moist"
"1","A-30-3-101S","A-30-3-101S Plot 1",0.0308913537418156,"A-30-3-101S Ref",0.0452203901367422
"2","A-30-3-101S","A-30-3-101S Plot 2",0.0358274839215492,"A-30-3-101S Ref",0.0452203901367422
"3","A-30-3-101S","A-30-3-101S Rd Plot 1",0.0127658451032715,"A-30-3-101S Ref",0.0452203901367422
"4","A-30-3-101S","A-30-3-101S Rd Plot 2",0.00155947055446637,"A-30-3-101S Ref",0.0452203901367422
"5","Cath Fed 30 01","Cath Fed 30 01 Plot 1",0.0119322178572308,"Cath Fed 30 01 Ref",0.0314434537008165
"6","Cath Fed 30 01","Cath Fed 30 01 Plot 2",0.0164380500859668,"Cath Fed 30 01 Ref",0.0314434537008165
"7","Cath Fed 30 01","Cath Fed 30 01 Rd Plot 1",0.00235342813125973,"Cath Fed 30 01 Ref",0.0314434537008165
"8","Cath Fed 30 01","Cath Fed 30 01 Rd Plot 2",0.0114413391384603,"Cath Fed 30 01 Ref",0.0314434537008165
"11","Cath Fed P 35 3 101 Rd","Cath Fed P 35 3 101 Rd Plot 2",0.0334165904081754,"Cath Fed P 35 3 101 Road Ref",0.076922801761892
"12","Cities Fed 07 31","Cities Fed 07 31 Plot 1",0.0189954273233867,"Cities Fed 07 31 Ref",0.0194925748808911
"13","Cities Fed 07 31","Cities Fed 07 31 Plot 2",0.021309537284409,"Cities Fed 07 31 Ref",0.0194925748808911
"14","DTU 1022","DTU 1022 Plot 1",0.0107813774559715,"DTU 1022 Ref",0.0183864794164911
"15","DTU 1022","DTU 1022 Plot 2",0.0129277198401913,"DTU 1022 Ref",0.0183864794164911
"16","DTU 1058","DTU 1058 Plot 1",0.0324606523504339,"DTU 1058 Ref",0.075593521120892
"17","DTU 1058","DTU 1058 Plot 2",0.0446643608478024,"DTU 1058 Ref",0.075593521120892
"18","Fed 30-16","Fed 30-16 Plot 1",0.0234417897799143,"Fed 30 16 Ref",0.0366642695500622
"20","Pk Mtn 9016","Pk Mtn 9016 Plot 1",0.0295087581454,"Pk Mtn 9016 Ref",0.0642847682086149
"21","Pk Mtn 9016","Pk Mtn 9016 Plot 2",0.0322528538204716,"Pk Mtn 9016 Ref",0.0642847682086149
"22","SDC 7326","SDC 7326 Plot 1",0.0326519869814038,"SDC 7326 Ref",0.0573998851754957
"23","SDC 7326","SDC 7326 Plot 2",0.0317624719963986,"SDC 7326 Ref",0.0573998851754957
"24","SDC 7326","SDC 7326 Rd Plot 2",0.0145082557471586,"SDC 7326 Ref",0.0573998851754957
"25","SWR 6003","SWR 6003 Plot 1",0.0150739771910671,"SWR 6003 Ref",0.0227538850702125
"26","SWR 6003","SWR 6003 Plot 2",0.00342404497253095,"SWR 6003 Ref",0.0227538850702125
