"","SiteID","ART.slope","ART.plot","ref.slope","reference","slope.diff"
"1","30-16",0.12035271525383,"Federal 30-16 FR Plot 1",0.0763387605547905,"Federal 30-16 Reference",4.40139546990395
"2","30-16",0.0540321171283722,"Federal 30-16 FR Plot 2",0.0763387605547905,"Federal 30-16 Reference",2.23066434264183
"3","A-30-3-101S",0.237316533923149,"A-30-3-101S Plot 1",0.12035271525383,"A-30-3-101S Federal Reference",11.6963818669319
"4","A-30-3-101S",0.237316533923149,"A-30-3-101S Plot 2",0.12035271525383,"A-30-3-101S Federal Reference",11.6963818669319
"5","A-30-3-101S",0.283414989709854,"A-30-3-101S Road Plot 1",0.12035271525383,"A-30-3-101S Federal Reference",16.3062274456024
"6","A-30-3-101S",0.67385733127594,"A-30-3-101S Road Plot 2",0.12035271525383,"A-30-3-101S Federal Reference",55.350461602211
"7","CATH FED 30 01",0.169392049312592,"CATH FED 30 01 FR Plot 1",0.192588448524475,"CATH FED 30 01 Reference",2.31963992118835
"8","CATH FED 30 01",0.213055685162544,"CATH FED 30 01 FR Plot 2",0.192588448524475,"CATH FED 30 01 Reference",2.04672366380692
"9","CATH FED 30 01",0.495789259672165,"CATH FED 30 01 Road Plot 1",0.192588448524475,"CATH FED 30 01 Reference",30.320081114769
"10","CATH FED 30 01",0.269090533256531,"CATH FED 30 01 Road Plot 2",0.192588448524475,"CATH FED 30 01 Reference",7.65020847320557
"11","Cath Fed P 35 3 101",0.296906173229218,"Cath Fed P 35 3 101 FR Plot 1",0.0763387605547905,"Cath Fed P 35 3 101 Reference",22.0567412674427
"12","Cath Fed P 35 3 101",0.333385020494461,"Cath Fed P 35 3 101 FR Plot 2",0.0763387605547905,"Cath Fed P 35 3 101 Reference",25.7046259939671
"13","Cath Fed P 35 3 101",0.219407305121422,"Cath Fed P 35 3 101 Road Plot 1",0.151798009872437,"Cath Fed P 35 3 101Road Ref",6.76092952489853
"14","Cath Fed P 35 3 101",0.390720367431641,"Cath Fed P 35 3 101 Road Plot 2",0.151798009872437,"Cath Fed P 35 3 101Road Ref",23.8922357559204
"15","Cities Fed 07 31",0.471801728010178,"Cities Fed 07 31 FR Well Pad Plot 1",0.305493414402008,"Cities Fed 07 31 Reference",16.630831360817
"16","Cities Fed 07 31",0.237316533923149,"Cities Fed 07 31 FR Well Pad Plot 2",0.305493414402008,"Cities Fed 07 31 Reference",6.81768804788589
"17","DTU 1022",0.462556481361389,"DTU 1022 FR Well Pad Plot 1",0.169392049312592,"DTU 1022 Reference",29.3164432048798
"18","DTU 1022",0.237316533923149,"DTU 1022 FR Well Pad Plot 2",0.169392049312592,"DTU 1022 Reference",6.79244846105576
"19","DTU 1058",0.371865391731262,"DTU 1058 Well Pad FR Plot 1",0.0540321171283722,"DTU 1058 Reference",31.783327460289
"20","DTU 1058",0.213055685162544,"DTU 1058 Well Pad FR Plot 2",0.0540321171283722,"DTU 1058 Reference",15.9023568034172
"21","PK MTN 9016",0.0540321171283722,"PK MTN 9016 FR Plot 1",0.0540321171283722,"PK MTN 9016 Reference",0
"22","PK MTN 9016",0,"PK MTN 9016 FR Plot 2",0.0540321171283722,"PK MTN 9016 Reference",5.40321171283722
"23","SDC 7326",0.305493414402008,"SDC 7326 FR Plot 1",0.151798009872437,"SDC 7326 Reference",15.3695404529572
"24","SDC 7326",0.237316533923149,"SDC 7326 FR Plot 2",0.151798009872437,"SDC 7326 Reference",8.55185240507126
"25","SDC 7326",0.12035271525383,"SDC 7326 FR Road Plot 1",0.151798009872437,"SDC 7326 Reference",3.14452946186066
"26","SDC 7326",0.317831724882126,"SDC 7326 FR Road Plot 2",0.151798009872437,"SDC 7326 Reference",16.6033715009689
"27","SWR 6003",0.219407305121422,"SWR 6003 Plot 1",0.12035271525383,"SWR 6003 Reference",9.90545898675919
"28","SWR 6003",0.12035271525383,"SWR 6003 Plot 2",0.12035271525383,"SWR 6003 Reference",0
