"","SiteID","slope.rec","reclamation","slope.ref","reference","slope.ART","ART.plot","ref.slope.greater5","ART.slope.greater5"
"1","30-16",0,"Federal 30-16 FR",0.0763387605547905,"Federal 30-16 Reference",0.12035271525383,"Federal 30-16 FR Plot 1",FALSE,TRUE
"2","30-16",0,"Federal 30-16 FR",0.0763387605547905,"Federal 30-16 Reference",0.0540321171283722,"Federal 30-16 FR Plot 2",FALSE,FALSE
"3","A-30-3-101S",0.0540321171283722,"A-30-3-101S Federal FR",0.12035271525383,"A-30-3-101S Federal Reference",0.237316533923149,"A-30-3-101S Plot 1",TRUE,TRUE
"4","A-30-3-101S",0.0540321171283722,"A-30-3-101S Federal FR",0.12035271525383,"A-30-3-101S Federal Reference",0.237316533923149,"A-30-3-101S Plot 2",TRUE,TRUE
"5","A-30-3-101S",0.0540321171283722,"A-30-3-101S Federal FR",0.12035271525383,"A-30-3-101S Federal Reference",0.283414989709854,"A-30-3-101S Road Plot 1",TRUE,TRUE
"6","A-30-3-101S",0.0540321171283722,"A-30-3-101S Federal FR",0.12035271525383,"A-30-3-101S Federal Reference",0.67385733127594,"A-30-3-101S Road Plot 2",TRUE,TRUE
"7","A-30-3-101S",0.107750572264194,"A-30-3-101S Federal Road",0.12035271525383,"A-30-3-101S Federal Reference",0.237316533923149,"A-30-3-101S Plot 1",TRUE,TRUE
"8","A-30-3-101S",0.107750572264194,"A-30-3-101S Federal Road",0.12035271525383,"A-30-3-101S Federal Reference",0.237316533923149,"A-30-3-101S Plot 2",TRUE,TRUE
"9","A-30-3-101S",0.107750572264194,"A-30-3-101S Federal Road",0.12035271525383,"A-30-3-101S Federal Reference",0.283414989709854,"A-30-3-101S Road Plot 1",TRUE,TRUE
"10","A-30-3-101S",0.107750572264194,"A-30-3-101S Federal Road",0.12035271525383,"A-30-3-101S Federal Reference",0.67385733127594,"A-30-3-101S Road Plot 2",TRUE,TRUE
"11","CATH FED 30 01",0.283414989709854,"CATH FED 30 01 Road",0.192588448524475,"CATH FED 30 01 Reference",0.169392049312592,"CATH FED 30 01 FR Plot 1",TRUE,TRUE
"12","CATH FED 30 01",0.283414989709854,"CATH FED 30 01 Road",0.192588448524475,"CATH FED 30 01 Reference",0.213055685162544,"CATH FED 30 01 FR Plot 2",TRUE,TRUE
"13","CATH FED 30 01",0.283414989709854,"CATH FED 30 01 Road",0.192588448524475,"CATH FED 30 01 Reference",0.495789259672165,"CATH FED 30 01 Road Plot 1",TRUE,TRUE
"14","CATH FED 30 01",0.283414989709854,"CATH FED 30 01 Road",0.192588448524475,"CATH FED 30 01 Reference",0.269090533256531,"CATH FED 30 01 Road Plot 2",TRUE,TRUE
