"","reference","reclamation","similarity","ref.clean","rec.clean"
"21","Federal A-21-3-101-S Reference","Federal A-21-3-101-S FR",0.982702314853668,"Federal A-21-3-101-S","Federal A-21-3-101-S"
"42","Fed 63S101W 28SWNW Reference","Fed 63S101W 28SWNW FR Well Pad",0.984378576278687,"Fed 63S101W 28SWNW","Fed 63S101W 28SWNW"
"62","Fed 63S101W 28SWNW Reference","Fed 63S101W 28SWNW FR Road",0.98432981967926,"Fed 63S101W 28SWNW","Fed 63S101W 28SWNW"
"103","Cities Fed 07 31 Reference","Cities Fed 07 31 FR Well Pad",0.999949514865875,"Cities Fed 07 31","Cities Fed 07 31"
"144","DTU 1058 Reference","DTU 1058 Well Pad FR",0.655423879623413,"DTU 1058","DTU 1058"
"165","Cath Fed 20 01U Reference","Cath Fed 20 01U FR Well Pad",0.638631463050842,"Cath Fed 20 01U","Cath Fed 20 01U"
"186","SDC 7326 Reference","SDC 7326 FR Road",0.98592221736908,"SDC 7326","SDC 7326"
"206","SDC 7326 Reference","SDC 7326 FR",0.99032187461853,"SDC 7326","SDC 7326"
"227","DTU 1037 Reference","DTU 1037 FR Well Pad",0.611595153808594,"DTU 1037","DTU 1037"
"248","FC A 7401Reference","FC A 7401 FR Well Pad",0.992421805858612,"FC A 7401","FC A 7401"
"269","Federal 30-16 Reference","Federal 30-16 FR",0.984440982341766,"Federal 30-16","Federal 30-16"
"290","DTU 1022 Reference","DTU 1022 FR Well Pad",0.963823080062866,"DTU 1022","DTU 1022"
"311","A-30-3-101S Federal Reference","A-30-3-101S Federal FR",0.984160423278809,"A-30-3-101S Federal","A-30-3-101S Federal"
"332","Douglas Creek Unit 9 Reference","Douglas Creek Unit 9 FR",0.944403409957886,"Douglas Creek Unit 9","Douglas Creek Unit 9"
"353","Cath Fed P 35 3 101 Reference","Cath Fed P 35 3 101 FR",0.646366655826569,"Cath Fed P 35 3 101","Cath Fed P 35 3 101"
"394","PK MTN FED 9014 Reference","PK MTN FED 9014 FR",0.635839462280273,"PK MTN FED 9014","PK MTN FED 9014"
"415","PK MTN 9016 Reference","PK MTN 9016 FR",0.952877283096313,"PK MTN 9016","PK MTN 9016"
"456","CATH FED 30 01 Reference","CATH FED 30 01 FR",0.984552562236786,"CATH FED 30 01","CATH FED 30 01"
"477","ECU 7619 Reference","ECU 7619 FR",0.999982833862305,"ECU 7619","ECU 7619"
"539","SWR 6003 Reference","SWR 6003 FR Well Pad",0.978387713432312,"SWR 6003","SWR 6003"
"541","Federal A-21-3-101-S Reference","Federal A-21-3-101-S Road",0.996642589569092,"Federal A-21-3-101-S","Federal A-21-3-101-S"
"571","A-30-3-101S Federal Reference","A-30-3-101S Federal Road",0.968646824359894,"A-30-3-101S Federal","A-30-3-101S Federal"
"600","Cath Fed P 35 3 101Road Ref","Cath Fed P 35 3 101 Road",1,"Cath Fed P 35 3 101","Cath Fed P 35 3 101"
"636","CATH FED 30 01 Reference","CATH FED 30 01 Road",0.666507542133331,"CATH FED 30 01","CATH FED 30 01"
