"","SiteName","Reference","ART.plot","bray.sim","Abandon_date","ART.value","shrub.ART","PG.ART","invasive.ART","shrub.ref","PG.ref","invasive.ref","ART.foliar","ref.foliar","abandon_year"
"1","A-30-3-101S Federal Well Pad","A-30-3-101S Federal Reference","A-30-3-101S Plot 1",0.342996007637563,2009-12-22,0.950995981693268,60.6060606060606,0,0,38.7755102040816,2.04081632653061,2.04081632653061,61.6161616161616,46.9387755102041,2009
"2","A-30-3-101S Federal Well Pad","A-30-3-101S Federal Reference","A-30-3-101S Plot 2",0.59134765017118,2009-12-22,0.952419221401215,51,0,0,38.7755102040816,2.04081632653061,2.04081632653061,52,46.9387755102041,2009
"3","A-30-3-101S Federal Well Pad","A-30-3-101S Federal Reference","A-30-3-101S Rd Plot 1",0.660261058738216,2009-12-22,0.955381989479065,51.5151515151515,0,3.03030303030303,38.7755102040816,2.04081632653061,2.04081632653061,54.5454545454545,46.9387755102041,2009
"4","A-30-3-101S Federal Well Pad","A-30-3-101S Federal Reference","A-30-3-101S Rd Plot 2",0.54616724738676,2009-12-22,0.948554277420044,68.6868686868687,1.01010101010101,0,38.7755102040816,2.04081632653061,2.04081632653061,68.6868686868687,46.9387755102041,2009
"5","Cath Fed 30 01 Road","CATH FED 30 01 Reference","Cath Fed 30 01 Rd Plot 1",0.219672131147541,2012-05-31,0.970592379570007,23.3333333333333,4.44444444444444,0,16,4,20,46.6666666666667,70,2012
"6","Cath Fed 30 01 Road","CATH FED 30 01 Reference","Cath Fed 30 01 Rd Plot 2",0.0849829351535836,2012-05-31,0.91993921995163,11.4583333333333,12.5,4.16666666666667,16,4,20,30.2083333333333,70,2012
"7","Cath Fed 30 01 Well Pad","CATH FED 30 01 Reference","Cath Fed 30 01 FR Plot 1",0.196319018404908,2012-05-30,0.913780212402344,62,18,0,16,4,20,72,70,2012
"8","Cath Fed 30 01 Well Pad","CATH FED 30 01 Reference","Cath Fed 30 01 FR Plot 2",0.240506329113924,2012-05-30,0.906932413578033,51,14,5,16,4,20,59,70,2012
"9","Cath Fed P 35 3 101 Road","Cath Fed P 35 3 101Road Ref","Cath Fed P 35 3 101 Rd Plot 1",0.261168384879725,2009-06-24,0.931309580802917,72,43,35,74,6,4,82,82,2009
"10","Cath Fed P 35 3 101 Road","Cath Fed P 35 3 101Road Ref","Cath Fed P 35 3 101 Rd Plot 2",0.444444444444444,2009-06-24,0.97555673122406,84.8484848484848,33.3333333333333,2.02020202020202,74,6,4,95.959595959596,82,2009
"11","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 Reference","Cath Fed P 35 3 101 FR Plot 1",0.280442804428044,2009-06-23,0.969400763511658,96,33,2,34,28,12,96,56,2009
"12","Cath Fed P 35 3 101 Well Pad","Cath Fed P 35 3 101 Reference","Cath Fed P 35 3 101 FR Plot 2",0.553300676463728,2009-06-23,0.934713840484619,63.265306122449,13.265306122449,2.04081632653061,34,28,12,70.4081632653061,56,2009
"13","DTU 1058 Well Pad","DTU 1058 Reference","DTU 1058 Plot 1",0.106170286108239,2011-07-08,0.956267178058624,45.4545454545455,1.2987012987013,1.2987012987013,4,26,4,46.7532467532468,38,2011
"14","DTU 1058 Well Pad","DTU 1058 Reference","DTU 1058 Plot 2",0.0467311777200849,2011-07-08,0.933955490589142,43.4343434343434,11.1111111111111,1.01010101010101,4,26,4,50.5050505050505,38,2011
"15","Federal 30-16 Well Pad","Federal 30-16 Reference","Federal 30-16 FR Plot 1",0.756410256410256,2012-11-08,0.999202251434326,73,0,0,60,6,4,73,60,2012
"16","Federal 30-16 Well Pad","Federal 30-16 Reference","Federal 30-16 FR Plot 2",0.776897287412374,2012-11-08,0.985262811183929,47.4747474747475,2.02020202020202,0,60,6,4,51.5151515151515,60,2012
"17","PK MTN 9016 Well Pad","PK MTN 9016 Reference","Pk Mtn 9016 Plot 1",0.117878192534381,2013-12-18,0.920247972011566,1.12359550561798,0,3.37078651685393,8,16,8,4.49438202247191,38,2013
"18","PK MTN 9016 Well Pad","PK MTN 9016 Reference","Pk Mtn 9016 Plot 2",0,2013-12-18,0.987779915332794,56.5656565656566,0,0,8,16,8,56.5656565656566,38,2013
"19","SDC 7326 FR Road","SDC 7326 Reference","SDC 7326 FR Rd Plot 1",0.142131979695431,2011-07-21,0.936899781227112,77,2,0,54,32,6,79,90,2011
"20","SDC 7326 FR Road","SDC 7326 Reference","SDC 7326 FR Rd Plot 2",0.192090395480226,2011-07-21,0.996216356754303,71,3,3,54,32,6,71,90,2011
"21","Well Pad Cities Fed 07 31","Cities Fed 07 31 Reference","Cities Fed 07 31 FR Plot 1",0.0353031465848043,2013-07-08,0.981870055198669,54,4,0,13.0434782608696,23.9130434782609,0,57,43.4782608695652,2013
"22","Well Pad Cities Fed 07 31","Cities Fed 07 31 Reference","Cities Fed 07 31 FR Plot 2",0.184028918830102,2013-07-08,0.986720860004425,45,26,0,13.0434782608696,23.9130434782609,0,61,43.4782608695652,2013
"23","Well Pad DTU 1022","DTU 1022 Reference","DTU 1022 FR Well Pad Plot 1",0.039032006245121,2013-07-10,0.919698059558868,29.2929292929293,16.1616161616162,0,24,12,12,37.3737373737374,46,2013
"24","Well Pad DTU 1022","DTU 1022 Reference","DTU 1022 FR Well Pad Plot 2",0,2013-07-10,0.939013779163361,62.6262626262626,2.02020202020202,0,24,12,12,64.6464646464647,46,2013
"25","Well pad SDC 7326","SDC 7326 Reference","SDC 7326 FR Plot 1",0.262857142857143,2011-07-22,0.996493816375732,65,11,3,54,32,6,68,90,2011
"26","Well pad SDC 7326","SDC 7326 Reference","SDC 7326 FR Plot 2",0.355140186915888,2011-07-22,0.997338473796844,73,22,1,54,32,6,81,90,2011
"27","Well Pad SWR 6003","SWR 6003 Reference","SWR 6003 Plot 1",0.528301886792453,2009-11-16,0.950485348701477,15.7303370786517,0,0,21.4285714285714,2.38095238095238,0,30.3370786516854,35.7142857142857,2009
"28","Well Pad SWR 6003","SWR 6003 Reference","SWR 6003 Plot 2",0.419426048565121,2009-11-16,0.979435205459595,20,4.21052631578947,0,21.4285714285714,2.38095238095238,0,25.2631578947368,35.7142857142857,2009
